Country,lessthan5_50,Continent,FPI,FDI,FIEI
Albania,33.8,Europe,67629.0,0.199178040027618,0.606880009174347
Algeria,28.6,Africa,996868.0,0.144824534654617,0.749048113822937
Angola,89.3,Africa,67381.0,0.156810119748116,0.573909401893616
Antigua and Barbuda,,North America,10557.0,0.314412623643875,0.825533032417297
Argentina,12.2,South America,885029.0,0.321530848741531,0.606799602508545
Australia,0.7,Oceania,2141404.0,0.900361835956573,0.8023205399513241
Austria,0.7,Europe,3867699.0,0.6307045221328741,0.785955309867859
Bangladesh,84.5,Asia,764531.0,0.23295973241329201,0.7101874947547909
Barbados,,North America,24951.0,0.44412541389465293,0.7649003267288209
Belarus,0.4,Europe,392526.0,0.17650365829467798,0.715066850185394
Belgium,0.3,Europe,6062558.0,0.632145822048187,0.7738821506500241
Belize,53.0,North America,18802.0,0.211083650588989,0.525812268257141
Benin,90.6,Africa,10084.0,0.12785479426384,0.683924376964569
Bhutan,38.6,Asia,30902.0,0.199779391288757,0.6884582042694088
Bosnia and Herzegovina,3.9,Europe,280006.0,0.259020984172821,0.685774683952332
Botswana,60.4,Africa,61453.0,0.262451261281967,0.664401412010193
Brazil,19.8,South America,881521.0,0.6004945039749151,0.496535927057266
Bulgaria,7.5,Europe,479545.0,0.377590984106064,0.719420433044434
Burkina Faso,92.3,Africa,17089.0,0.13078856468200697,0.707706391811371
Burundi,96.8,Africa,4623.0,0.13706476986408198,0.49781036376953103
Cambodia,,Asia,310203.0,0.153885155916214,0.5789371728897089
Cameroon,68.9,Africa,46430.0,0.10302487760782199,0.542880296707153
Canada,0.7,North America,4999087.0,0.8777118921279911,0.7923922538757321
Central African Republic,92.8,Africa,968.0,0.0529687963426113,0.300731390714645
Chad,86.2,Africa,1088.0,0.0932455435395241,0.4743630886077879
Chile,3.7,South America,901684.0,0.459539622068405,0.5292681455612179
Colombia,27.8,South America,867678.0,0.381437480449677,0.61933159828186
Comoros,62.3,Africa,1251.0,0.0537453405559063,0.215910077095032
Costa Rica,10.9,North America,525710.0,0.27699831128120395,0.584465324878693
Croatia,3.8,Europe,546794.0,0.49692752957344105,0.700218498706818
Cyprus,0.1,Europe,122586.0,0.47735869884490995,0.602429151535034
Denmark,0.2,Europe,2090845.0,0.6449014544487,0.6407436728477479
Djibouti,70.6,Africa,56471.0,0.15629708766937303,0.6965423822402951
Dominica,,North America,6894.0,0.223563358187675,0.640836477279663
Dominican Republic,13.8,North America,393367.0,0.179058581590652,0.534051597118378
Ecuador,24.2,South America,399225.0,0.174886882305145,0.541483044624329
Egypt,70.4,Africa,2613098.0,0.31059950590133695,0.7811566591262821
El Salvador,25.7,North America,297002.0,0.22879329323768602,0.573324918746948
Equatorial Guinea,,Africa,3354.0,0.10593032091855999,0.5422372817993161
Eritrea,,Africa,3380.0,0.0836109817028046,0.5244486927986151
Estonia,1.0,Europe,688950.0,0.28488263487815896,0.6603418588638311
Ethiopia,85.0,Africa,103584.0,0.13464745879173298,0.7604578733444209
Fiji,48.6,Oceania,44183.0,0.21740667521953602,0.6107051968574521
Finland,0.1,Europe,1415408.0,0.736415028572083,0.7914550900459291
France,0.2,Europe,8256757.0,0.7770787477493291,0.8021558523178101
Gabon,32.2,Africa,9771.0,0.125458523631096,0.513017177581787
Georgia,42.9,Europe,158067.0,0.30651661753654497,0.7209770083427429
Germany,0.2,Europe,16442309.0,0.713744401931763,0.667407810688019
Ghana,56.9,Africa,224596.0,0.144933611154556,0.42317023873329207
Greece,4.7,Europe,1109189.0,0.535087287425995,0.7212463617324829
Grenada,,North America,7699.1,0.294965267181396,0.614658951759338
Guatemala,48.8,North America,498742.0,0.23107600212097198,0.640602946281433
Guinea,92.3,Africa,8464.0,0.105498008430004,0.5508822798728941
Guinea-Bissau,93.4,Africa,890.0,0.103805519640446,0.6115756630897521
Guyana,56.4,South America,9376.0,0.16092123091220903,0.615587294101715
Haiti,78.9,North America,44007.66,0.112548023462296,0.635668396949768
Honduras,50.3,North America,217467.0,0.207011535763741,0.5335459113121029
Hungary,3.0,Europe,1426364.0,0.44075399637222296,0.6824714541435238
Iceland,0.2,Europe,123843.0,0.509202003479004,0.38338732719421403
India,87.4,Asia,6799109.0,0.41823875904083296,0.595797896385193
Indonesia,53.2,Asia,3028095.0,0.365880519151688,0.6680097579956049
Ireland,0.7,Europe,839558.0,0.673120200634003,0.6429924964904791
Israel,2.7,Asia,954216.0,0.559961557388306,0.745760321617126
Italy,3.1,Europe,9492899.0,0.7636008262634281,0.527796387672424
Jamaica,29.7,North America,103057.0,0.274813294410706,0.53946179151535
Japan,1.0,Asia,10581454.0,0.859173774719238,0.8389233946800229
Jordan,18.1,Asia,462557.0,0.381038963794708,0.7146252989768979
Kazakhstan,8.6,Asia,525109.0,0.33864822983741805,0.5675504207611078
Kenya,87.0,Africa,424480.0,0.18637806177139302,0.595735788345337
Kiribati,69.4,Oceania,925.0,0.0935315266251564,0.45941764116287204
Kuwait,,Asia,397252.0,0.518661022186279,0.7854658961296078
Latvia,4.0,Europe,627882.0,0.257966309785843,0.648667514324188
Lebanon,1.9,Asia,430885.0,0.299784868955612,0.782364845275879
Lesotho,89.9,Africa,17446.0,0.14479279518127403,0.50720888376236
Liberia,92.2,Africa,8662.0,0.129480391740799,0.355583488941193
Libya,,Africa,108965.0,0.144953027367592,0.650902330875397
Lithuania,3.8,Europe,917520.0,0.21916280686855302,0.643119931221008
Luxembourg,0.5,Europe,364141.0,0.7535730004310609,0.778296411037445
Madagascar,97.3,Africa,30716.0,0.10033924877643598,0.55473005771637
